model,config,problem,topic,outcome,passed,compiled,error_kind,mismatches,iterations,finished,tool_calls,compile_calls,rag_calls,llm_calls,prompt_tokens,completion_tokens,total_tokens,wall_seconds,agent_error
gemma4_26b_a4b,baseline,Prob001_zero,combinational,pass,1,1,,0,1,1,0,0,0,1,84,231,315,17.687,
gemma4_26b_a4b,baseline,Prob002_m2014_q4i,combinational,pass,1,1,,0,1,1,0,0,0,1,88,224,312,7.196,
gemma4_26b_a4b,baseline,Prob003_step_one,combinational,pass,1,1,,0,1,1,0,0,0,1,88,197,285,13.992,
gemma4_26b_a4b,baseline,Prob004_vector2,combinational,pass,1,1,,0,1,1,0,0,0,1,108,690,798,31.411,
gemma4_26b_a4b,baseline,Prob005_notgate,combinational,pass,1,1,,0,1,1,0,0,0,1,89,300,389,9.958,
gemma4_26b_a4b,baseline,Prob006_vectorr,combinational,pass,1,1,,0,1,1,0,0,0,1,111,1234,1345,48.947,
gemma4_26b_a4b,baseline,Prob007_wire,combinational,pass,1,1,,0,1,1,0,0,0,1,89,253,342,8.271,
gemma4_26b_a4b,baseline,Prob008_m2014_q4h,arithmetic,pass,1,1,,0,1,1,0,0,0,1,100,195,295,6.131,
gemma4_26b_a4b,baseline,Prob009_popcount3,combinational,pass,1,1,,0,1,1,0,0,0,1,115,721,836,32.477,
gemma4_26b_a4b,baseline,Prob010_mt2015_q4a,combinational,pass,1,1,,0,1,1,0,0,0,1,103,503,606,27.578,
gemma4_26b_a4b,baseline,Prob011_norgate,combinational,pass,1,1,,0,1,1,0,0,0,1,94,312,406,34.45,
gemma4_26b_a4b,baseline,Prob012_xnorgate,combinational,pass,1,1,,0,1,1,0,0,0,1,95,450,545,41.082,
gemma4_26b_a4b,baseline,Prob013_m2014_q4e,combinational,pass,1,1,,0,1,1,0,0,0,1,100,348,448,37.405,
gemma4_26b_a4b,baseline,Prob014_andgate,combinational,pass,1,1,,0,1,1,0,0,0,1,98,243,341,34.163,
gemma4_26b_a4b,baseline,Prob015_vector1,combinational,pass,1,1,,0,1,1,0,0,0,1,150,485,635,33.814,
gemma4_26b_a4b,baseline,Prob016_m2014_q4j,arithmetic,pass,1,1,,0,1,1,0,0,0,1,122,1479,1601,67.89,
gemma4_26b_a4b,baseline,Prob017_mux2to1v,combinational,pass,1,1,,0,1,1,0,0,0,1,140,496,636,29.278,
gemma4_26b_a4b,baseline,Prob018_mux256to1,combinational,pass,1,1,,0,1,1,0,0,0,1,172,505,677,25.954,
gemma4_26b_a4b,baseline,Prob019_m2014_q4f,combinational,pass,1,1,,0,1,1,0,0,0,1,141,317,458,27.429,
