model,config,problem,topic,outcome,passed,compiled,error_kind,mismatches,iterations,finished,tool_calls,compile_calls,rag_calls,llm_calls,prompt_tokens,completion_tokens,total_tokens,wall_seconds,agent_error
gemma4_26b_a4b,fix_oneshot,2012_q2b#0,fsm,truncated,0,0,,,1,1,0,0,0,1,591,8192,8783,489.641,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,2012_q2b#1,fsm,truncated,0,0,,,1,1,0,0,0,1,451,8192,8643,489.565,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,2013_q2bfsm#0,fsm,truncated,0,0,,,1,1,0,0,0,1,1265,8192,9457,490.487,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,2013_q2bfsm#1,fsm,truncated,0,0,,,1,1,0,0,0,1,1088,8192,9280,489.639,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,2013_q2bfsm#2,fsm,truncated,0,0,,,1,1,0,0,0,1,955,8192,9147,490.486,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,always_case#0,combinational,pass,1,1,,0,1,1,0,0,0,1,404,3202,3606,191.031,
gemma4_26b_a4b,fix_oneshot,always_case#1,combinational,pass,1,1,,0,1,1,0,0,0,1,409,2518,2927,150.434,
gemma4_26b_a4b,fix_oneshot,always_case#2,combinational,pass,1,1,,0,1,1,0,0,0,1,371,2599,2970,155.402,
gemma4_26b_a4b,fix_oneshot,always_case#3,combinational,pass,1,1,,0,1,1,0,0,0,1,456,1875,2331,110.888,
gemma4_26b_a4b,fix_oneshot,always_case2#0,combinational,truncated,0,0,,,1,1,0,0,0,1,640,8192,8832,488.097,response truncated at max_tokens
gemma4_26b_a4b,fix_oneshot,always_case2#1,combinational,pass,1,1,,0,1,1,0,0,0,1,639,4017,4656,239.304,
gemma4_26b_a4b,fix_oneshot,always_case2#2,combinational,pass,1,1,,0,1,1,0,0,0,1,481,5062,5543,303.799,
gemma4_26b_a4b,fix_oneshot,always_case2#3,combinational,pass,1,1,,0,1,1,0,0,0,1,470,6773,7243,402.557,
gemma4_26b_a4b,fix_oneshot,always_casez#0,combinational,truncated,0,0,,,1,1,0,0,0,1,427,8192,8619,486.346,response truncated at max_tokens
